coords,nb_x,nb_y,likelihood,nt_x,nt_y,likelihood,adam_x,adam_y,likelihood,nb_ad_x,nb_ad_y,nt_ad_x,nt_ad_y
81,142.1415253,223.4038696,1,143.7737427,260.2860718,1,195.9973907,341.4068298,1,53.85586548,118.0029602,52.22364807,81.12075806
82,142.1743622,223.3889618,1,143.691452,260.6411133,1,195.7794647,341.3535767,1,53.60510254,117.9646149,52.0880127,80.71246338
83,141.882782,223.353363,1,143.7264404,261.0689087,1,195.9511108,341.4878845,1,54.06832886,118.1345215,52.22467041,80.41897583
84,141.885025,223.1983337,1,143.4237061,260.7091675,1,195.9491119,341.3857422,1,54.06408691,118.1874084,52.52540588,80.67657471
85,141.9294586,223.1352081,1,143.5916443,260.6691589,1,195.9893951,341.4877319,1,54.05993652,118.3525238,52.39775085,80.818573
86,141.971405,223.0735931,1,143.6311646,260.4691772,1,195.7168732,341.6165161,1,53.74546814,118.542923,52.08570862,81.14733887
87,141.821167,223.3495941,1,143.4177856,260.6387634,1,195.9740601,341.8135681,1,54.15289307,118.463974,52.55627441,81.17480469
88,141.8262329,223.0458069,1,143.4638977,260.5620728,1,195.903717,341.9035645,1,54.07748413,118.8577576,52.43981934,81.3414917
89,142.6486969,222.9481049,1,143.9506989,260.1463318,1,195.9313202,341.9146729,1,53.28262329,118.966568,51.98062134,81.76834106
90,143.3862,222.7355347,1,144.5361176,259.9782715,1,195.8166504,342.2980347,1,52.43045044,119.5625,51.28053284,82.31976318
91,143.6214142,222.2206726,1,145.1093597,259.4045715,1,195.7617493,342.6800537,1,52.14033508,120.4593811,50.65238953,83.27548218
92,144.3088074,221.904541,1,145.343338,258.8509216,1,195.7529907,343.0548401,1,51.44418335,121.1502991,50.40965271,84.20391846
93,144.9065704,221.2516632,1,145.9228363,258.4492493,1,195.8117523,342.8696899,1,50.90518188,121.6180267,49.88891602,84.42044067
94,145.5272217,220.6914825,1,146.3963623,257.4874268,1,195.7020569,342.9064941,1,50.17483521,122.2150116,49.30569458,85.41906738
95,146.1277466,219.6602783,1,146.9636993,257.1200562,1,195.5912476,343.1112671,1,49.46350098,123.4509888,48.62754822,85.99121094
96,146.3056793,218.9219513,1,147.5095825,256.3172302,1,195.7661896,343.3784485,1,49.46051025,124.4564972,48.25660706,87.06121826
97,146.8622742,218.5799561,1,148.2942657,255.4296112,1,195.9270782,343.7336731,1,49.06480408,125.153717,47.6328125,88.30406189
98,147.6039581,217.6213989,1,149.1019897,254.5968628,1,195.8453369,344.1117249,1,48.24137878,126.4903259,46.74334717,89.51486206
99,148.2228394,216.6453705,1,150.2146301,253.7640533,1,195.9362183,344.4689636,1,47.71337891,127.8235931,45.72158813,90.70491028
100,149.6824493,216.0628662,1,151.571991,252.8031006,1,195.8465729,344.9826355,1,46.16412354,128.9197693,44.27458191,92.17953491
101,150.4531097,215.6928406,1,152.7052002,252.1946259,1,195.9227905,345.2099915,1,45.46968079,129.5171509,43.21759033,93.0153656
102,151.5624542,214.9165039,1,153.4161072,251.8699646,1,196.0291443,345.3745422,1,44.46669006,130.4580383,42.61303711,93.50457764
103,153.0255432,214.0041656,1,153.6628265,251.5693512,1,196.3656464,345.3330078,1,43.34010315,131.3288422,42.70281982,93.76365662
104,154.1825562,212.9335632,1,153.9017029,250.9391479,1,196.7944946,345.4478149,1,42.61193848,132.5142517,42.89279175,94.50866699
105,155.1862488,212.4958801,1,154.3912048,250.5813599,1,196.8625793,344.9621582,1,41.67633057,132.4662781,42.47137451,94.38079834
106,155.3919983,211.932373,1,154.5138702,250.1608124,1,196.7680817,344.1578369,1,41.37608337,132.2254639,42.25421143,93.99702454
107,156.221344,211.6897736,1,155.598938,249.8930664,1,196.448288,343.8139954,1,40.22694397,132.1242218,40.84934998,93.92092896
108,157.3162537,211.0800629,1,155.8390045,249.2968597,1,196.5335236,343.2190552,1,39.2172699,132.1389923,40.69451904,93.92219543
